iter	Passed	Remaining
293	45671	109673
294	45826	109516
295	45974	109345
296	46126	109180
297	46287	109039
298	46468	108943
299	46621	108782
300	46794	108667
301	46957	108530
302	47119	108389
303	47275	108236
304	47427	108072
305	47566	107879
306	47706	107689
307	47887	107590
308	48061	107476
309	48216	107320
310	48375	107172
311	48525	107005
312	48679	106846
313	48845	106713
314	49032	106626
315	49204	106506
316	49362	106355
317	49533	106232
318	49699	106098
319	49855	105943
320	50009	105783
321	50167	105632
322	50310	105450
323	50448	105257
324	50598	105088
325	50773	104972
326	50939	104837
327	51094	104681
328	51247	104520
329	51422	104402
330	51604	104299
331	51748	104120
332	51912	103981
333	52056	103800
334	52209	103638
335	52356	103467
336	52509	103304
337	52682	103183
338	52840	103032
339	52996	102875
340	53162	102739
341	53310	102568
342	53484	102446
343	53625	102262
344	53773	102091
345	53928	101934
346	54098	101805
347	54247	101636
348	54401	101475
349	54557	101321
350	54721	101180
351	54878	101026
352	55051	100900
353	55217	100763
354	55368	100599
355	55530	100454
356	55706	100334
357	55849	100153
358	55998	99986
359	56166	99850
360	56318	99688
361	56455	99499
362	56613	99346
363	56779	99208
364	56964	99103
365	57126	98956
366	57311	98850
367	57459	98681
368	57603	98504
369	57742	98318
370	57914	98189
371	58065	98023
372	58227	97878
373	58387	97728
374	58556	97593
375	58701	97419
376	58842	97238
377	58996	97078
378	59135	96895
379	59277	96715
380	59432	96558
381	59579	96388
382	59748	96252
383	59910	96106
384	60066	95950
385	60244	95829
386	60414	95694
387	60566	95533
388	60725	95381
389	60881	95224
390	61054	95094
391	61229	94968
392	61386	94813
393	61552	94671
394	61718	94530
395	61886	94392
396	62066	94271
397	62214	94102
398	62370	93947
